s__Abiotrophia_defectiva
s__Achromobacter_unclassified
s__Achromobacter_xylosoxidans
s__Actinobacillus_unclassified
s__Actinomyces_georgiae
s__Actinomyces_graevenitzii
s__Actinomyces_johnsonii
s__Actinomyces_massiliensis
s__Actinomyces_naeslundii
s__Actinomyces_odontolyticus
s__Actinomyces_oris
s__Actinomyces_sp_HPA0247
s__Actinomyces_sp_ICM39
s__Actinomyces_sp_ICM47
s__Actinomyces_sp_oral_taxon_181
s__Actinomyces_turicensis
s__Actinomyces_viscosus
s__Aggregatibacter_aphrophilus
s__Aggregatibacter_unclassified
s__Alloprevotella_tannerae
s__Alloprevotella_unclassified
s__Alloscardovia_omnicolens
s__Atopobium_parvulum
s__Atopobium_rimae
s__Atopobium_sp_ICM58
s__Bacillus_subtilis
s__Bacteroidetes_oral_taxon_274
s__Bifidobacterium_breve
s__Bifidobacterium_longum
s__Bordetella_unclassified
s__Brevibacterium_unclassified
s__Burkholderia_gladioli
s__Burkholderia_unclassified
s__Campylobacter_concisus
s__Campylobacter_gracilis
s__Campylobacter_rectus
s__Campylobacter_showae
s__Capnocytophaga_gingivalis
s__Capnocytophaga_granulosa
s__Capnocytophaga_ochracea
s__Capnocytophaga_unclassified
s__Cardiobacterium_hominis
s__Caulobacter_unclassified
s__Centipeda_periodontii
s__Corynebacterium_durum
s__Corynebacterium_propinquum
s__Corynebacterium_pseudodiphtheriticum
s__Corynebacterium_sp_KPL1989
s__Dialister_invisus
s__Eikenella_corrodens
s__Enterococcus_faecalis
s__Escherichia_coli
s__Escherichia_unclassified
s__Eubacterium_brachy
s__Eubacterium_infirmum
s__Fusobacterium_nucleatum
s__Fusobacterium_periodonticum
s__Gemella_haemolysans
s__Gemella_morbillorum
s__Gemella_sanguinis
s__Gemella_unclassified
s__Granulicatella_adiacens
s__Granulicatella_elegans
s__Granulicatella_unclassified
s__Haemophilus_haemolyticus
s__Haemophilus_influenzae
s__Haemophilus_parahaemolyticus
s__Haemophilus_parainfluenzae
s__Haemophilus_paraphrohaemolyticus
s__Haemophilus_sputorum
s__Kingella_denitrificans
s__Kingella_oralis
s__Kingella_unclassified
s__Kocuria_unclassified
s__Lachnoanaerobaculum_saburreum
s__Lachnospiraceae_bacterium_ICM7
s__Lachnospiraceae_bacterium_oral_taxon_082
s__Lachnospiraceae_oral_taxon_107
s__Lactobacillus_casei_paracasei
s__Lactobacillus_fermentum
s__Lactobacillus_gasseri
s__Lactobacillus_plantarum
s__Lactobacillus_reuteri
s__Lactobacillus_rhamnosus
s__Lactococcus_lactis
s__Lautropia_mirabilis
s__Leptotrichia_hofstadii
s__Leptotrichia_shahii
s__Leptotrichia_sp_oral_taxon_215
s__Leptotrichia_unclassified
s__Leptotrichia_wadei
s__Leuconostoc_lactis
s__Leuconostoc_unclassified
s__Listeria_monocytogenes
s__Listeria_unclassified
s__Megasphaera_micronuciformis
s__Megasphaera_unclassified
s__Mitsuokella_unclassified
s__Neisseria_cinerea
s__Neisseria_elongata
s__Neisseria_flavescens
s__Neisseria_gonorrhoeae
s__Neisseria_macacae
s__Neisseria_meningitidis
s__Neisseria_sicca
s__Neisseria_subflava
s__Neisseria_unclassified
s__Olsenella_profusa
s__Oribacterium_sinus
s__Oribacterium_sp_oral_taxon_078
s__Oribacterium_sp_oral_taxon_108
s__Parascardovia_denticolens
s__Parvimonas_micra
s__Parvimonas_sp_oral_taxon_110
s__Parvimonas_unclassified
s__Peptoniphilus_lacrimalis
s__Peptostreptococcus_stomatis
s__Peptostreptococcus_unclassified
s__Porphyromonas_catoniae
s__Porphyromonas_endodontalis
s__Porphyromonas_sp_oral_taxon_279
s__Prevotella_denticola
s__Prevotella_histicola
s__Prevotella_loescheii
s__Prevotella_maculosa
s__Prevotella_melaninogenica
s__Prevotella_micans
s__Prevotella_nanceiensis
s__Prevotella_nigrescens
s__Prevotella_oralis
s__Prevotella_oris
s__Prevotella_oulorum
s__Prevotella_pallens
s__Prevotella_pleuritidis
s__Prevotella_salivae
s__Prevotella_veroralis
s__Propionibacterium_acnes
s__Propionibacterium_propionicum
s__Pseudomonas_aeruginosa
s__Pseudomonas_unclassified
s__Pusillimonas_unclassified
s__Ralstonia_pickettii
s__Ralstonia_unclassified
s__Rothia_aeria
s__Rothia_dentocariosa
s__Rothia_mucilaginosa
s__Rothia_unclassified
s__Ruminococcus_torques
s__Salmonella_enterica
s__Salmonella_unclassified
